= Start
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(config_create+0x5b)[0x330aac] + 0x806a340 0x8
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806a350 0x44
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(dictionary_create+0x1e)[0x32f612] + 0x806a398 0x14
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(dictionary_create+0x4a)[0x32f63e] + 0x806a3b0 0x50
@ /lib/i386-linux-gnu/libc.so.6:[0x204d08] + 0x806a408 0x160
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(config_create+0xde)[0x330b2f] + 0x806a570 0x200
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806a778 0x200
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] + 0x806a980 0x4
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806a990 0x16
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806a980
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806a980 0x8
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806a9b0 0x49
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806a980
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806a980 0xc
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806aa00 0x15
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806a980
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806aa20 0x10
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806aa38 0x49
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806aa20
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806aa20 0x14
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806aa88 0x3a
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806aa20
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806aac8 0x18
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806a980 0xa
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806aac8
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806aac8 0x1c
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806aae8 0x31
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806aac8
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806ab20 0x20
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806aa20 0x13
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806ab20
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806ab20 0x24
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806ab48 0x2d
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806ab20
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806ab80 0x28
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806abb0 0x10
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806ab80
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806ab80 0x2c
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806ab20 0x23
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806ab80
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806abc8 0x30
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806ac00 0xb
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806abc8
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806abc8 0x34
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806ac10 0x1e
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806abc8
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806ac38 0x38
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806ac78 0x7
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806ac38
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806ac38 0x3c
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806aac8 0x18
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806ac38
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806ac88 0x40
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806acd0 0xb
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0xce)[0x3316bc] < 0x806ac88
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0xce)[0x3316bc] > 0x806ac88 0x44
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0xee)[0x3316dc] - 0x806a778
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806a778 0x49
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] + 0x806a7c8 0x4
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806a7d8 0xa
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] < 0x806a7c8
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0x74)[0x331662] > 0x806a7c8 0x8
@ /lib/i386-linux-gnu/libc.so.6:(__strdup+0x31)[0x21c371] + 0x806a7e8 0x3f
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0xce)[0x3316bc] < 0x806a7c8
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0xce)[0x3316bc] > 0x806a7c8 0xc
@ /home/utnso/Desarrollo/Workspace/2012-1c-los-altos/commons/Debug/libcommons.so:(string_split+0xee)[0x3316dc] - 0x806a778
